feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	72131	74215	-					Ac-PNK/PNL	1403919	ACNVgp087	2085		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	72131	74215	-	NP_054116.1			polynucleotide kinase/ligase	Ac-PNK/PNL	1403919	ACNVgp087	2085	694	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	74356	74736	+					Ac-p15	1403920	ACNVgp088	381		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	74356	74736	+	NP_054117.1			p15	Ac-p15	1403920	ACNVgp088	381	126	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	74737	75531	-					Ac-cg30	1403921	ACNVgp089	795		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	74737	75531	-	NP_054118.1			hypothetical protein	Ac-cg30	1403921	ACNVgp089	795	264	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	75534	76577	-					Ac-vp39	1403922	ACNVgp090	1044		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	75534	76577	-	NP_054119.1			major viral capsid protein	Ac-vp39	1403922	ACNVgp090	1044	347	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	76596	77990	+					Ac-lef4	1403923	ACNVgp091	1395		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	76596	77990	+	NP_054120.1			late expression factor 4	Ac-lef4	1403923	ACNVgp091	1395	464	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	77987	78661	-					AcOrf-91	1403924	ACNVgp092	675		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	77987	78661	-	NP_054121.1			AcOrf-91 peptide	AcOrf-91	1403924	ACNVgp092	675	224	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	78699	79478	-					AcOrf-92	1403925	ACNVgp093	780		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	78699	79478	-	NP_054122.1			AcOrf-92 peptide	AcOrf-92	1403925	ACNVgp093	780	259	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	79477	79962	+					AcOrf-93	1403926	ACNVgp094	486		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	79477	79962	+	NP_054123.1			AcOrf-93 peptide	AcOrf-93	1403926	ACNVgp094	486	161	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	79971	80657	+					Ac-odv-e25	1403927	ACNVgp095	687		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	79971	80657	+	NP_054124.1			occlusion-derived virus envelope protein	Ac-odv-e25	1403927	ACNVgp095	687	228	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	80694	84359	-					Ac-helicase	1403928	ACNVgp096	3666		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	80694	84359	-	NP_054125.1			helicase	Ac-helicase	1403928	ACNVgp096	3666	1221	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	84346	84867	+					AcOrf-96	1403929	ACNVgp097	522		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	84346	84867	+	NP_054126.1			AcOrf-96 peptide	AcOrf-96	1403929	ACNVgp097	522	173	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	84839	85009	+					AcOrf-97	1403930	ACNVgp098	171		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	84839	85009	+	NP_054127.1			AcOrf-97 peptide	AcOrf-97	1403930	ACNVgp098	171	56	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	85021	85983	-					Ac-38K	1403931	ACNVgp099	963		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	85021	85983	-	NP_054128.1			hypothetical protein	Ac-38K	1403931	ACNVgp099	963	320	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	85918	86715	+					Ac-lef5	1403932	ACNVgp100	798		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	85918	86715	+	NP_054129.1			late expression factor 5	Ac-lef5	1403932	ACNVgp100	798	265	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	86712	86879	-					Ac-p6.9	1403933	ACNVgp101	168		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	86712	86879	-	NP_054130.1			basic protein	Ac-p6.9	1403933	ACNVgp101	168	55	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	86921	88006	-					Ac-p40	1403934	ACNVgp102	1086		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	86921	88006	-	NP_054131.1			hypothetical protein	Ac-p40	1403934	ACNVgp102	1086	361	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	88026	88394	-					AcOrf-102	1403935	ACNVgp103	369		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	88026	88394	-	NP_054132.1			AcOrf-102	AcOrf-102	1403935	ACNVgp103	369	122	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	88375	89538	-					Ac-p48	1403936	ACNVgp104	1164		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	88375	89538	-	NP_054133.1			hypothetical protein	Ac-p48	1403936	ACNVgp104	1164	387	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	89564	91639	+					Ac-vp80	1403937	ACNVgp105	2076		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	89564	91639	+	NP_054134.1			viral capsid associated protein	Ac-vp80	1403937	ACNVgp105	2076	691	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	91667	93328	-					Ac-HE65	1403938	ACNVgp106	1662		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	91667	93328	-	NP_054135.1			hypothetical protein	Ac-HE65	1403938	ACNVgp106	1662	553	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	93873	94058	+					AcOrf-106	1403939	ACNVgp107	186		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	93873	94058	+	NP_054136.1			AcOrf-106 peptide	AcOrf-106	1403939	ACNVgp107	186	61	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	94059	94391	+					AcOrf-107	1403940	ACNVgp108	333		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	94059	94391	+	NP_054137.1			AcOrf-107 peptide	AcOrf-107	1403940	ACNVgp108	333	110	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	94392	94709	-					AcOrf-108	1403941	ACNVgp109	318		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	94392	94709	-	NP_054138.1			AcOrf-108 peptide	AcOrf-108	1403941	ACNVgp109	318	105	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	94721	95893	-					AcOrf-109	1403942	ACNVgp110	1173		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	94721	95893	-	NP_054139.1			AcOrf-109 peptide	AcOrf-109	1403942	ACNVgp110	1173	390	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	95929	96099	-					AcOrf-110	1403943	ACNVgp111	171		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	95929	96099	-	NP_054140.1			AcOrf-110 peptide	AcOrf-110	1403943	ACNVgp111	171	56	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	96148	96351	-					AcOrf-111	1403944	ACNVgp112	204		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	96148	96351	-	NP_054141.1			AcOrf-111 peptide	AcOrf-111	1403944	ACNVgp112	204	67	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	96521	96784	+					AcOrf-112	1403945	ACNVgp113	264		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	96521	96784	+	NP_054142.1			AcOrf-112 peptide	AcOrf-112	1403945	ACNVgp113	264	87	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	96789	97298	+					AcOrf-113	1403946	ACNVgp114	510		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	96789	97298	+	NP_054143.1			AcOrf-113 peptide	AcOrf-113	1403946	ACNVgp114	510	169	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	97886	99160	-					AcOrf-114	1403947	ACNVgp115	1275		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	97886	99160	-	NP_054144.1			AcOrf-114 peptide	AcOrf-114	1403947	ACNVgp115	1275	424	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	99182	99796	-					AcOrf-115	1403948	ACNVgp116	615		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	99182	99796	-	NP_054145.1			AcOrf-115 peptide	AcOrf-115	1403948	ACNVgp116	615	204	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	99804	99974	-					AcOrf-116	1403949	ACNVgp117	171		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	99804	99974	-	NP_054146.1			AcOrf-116 peptide	AcOrf-116	1403949	ACNVgp117	171	56	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	99910	100197	+					AcOrf-117	1403950	ACNVgp118	288		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	99910	100197	+	NP_054147.1			AcOrf-117 peptide	AcOrf-117	1403950	ACNVgp118	288	95	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	100231	100704	-					AcOrf-118	1403951	ACNVgp119	474		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	100231	100704	-	NP_054148.1			AcOrf-118 peptide	AcOrf-118	1403951	ACNVgp119	474	157	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	100699	102291	+					AcOrf-119	1403952	ACNVgp120	1593		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	100699	102291	+	NP_054149.1			AcOrf-119 peptide	AcOrf-119	1403952	ACNVgp120	1593	530	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	102296	102544	+					AcOrf-120	1403953	ACNVgp121	249		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	102296	102544	+	NP_054150.1			AcOrf-120 peptide	AcOrf-120	1403953	ACNVgp121	249	82	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	102647	102823	+					AcOrf-121	1403954	ACNVgp122	177		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	102647	102823	+	NP_054151.1			AcOrf-121 peptide	AcOrf-121	1403954	ACNVgp122	177	58	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	102713	102901	-					AcOrf-122	1403955	ACNVgp123	189		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	102713	102901	-	NP_054152.1			AcOrf-122 peptide	AcOrf-122	1403955	ACNVgp123	189	62	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	102964	103611	-					Ac-pk-2	1403956	ACNVgp124	648		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	102964	103611	-	NP_054153.1			protein kinase	Ac-pk-2	1403956	ACNVgp124	648	215	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	103793	104536	+					AcOrf-124	1403957	ACNVgp125	744		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	103793	104536	+	NP_054154.1			AcOrf-124 peptide	AcOrf-124	1403957	ACNVgp125	744	247	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	104553	105233	-					Ac-lef7	1403958	ACNVgp126	681		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	104553	105233	-	NP_054155.1			late expression factor 7	Ac-lef7	1403958	ACNVgp126	681	226	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	105282	106937	-					Ac-chitinase	1403959	ACNVgp127	1656		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	105282	106937	-	NP_054156.1			chitinase	Ac-chitinase	1403959	ACNVgp127	1656	551	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	106983	107954	+					Ac-v-cath	1403960	ACNVgp128	972		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	106983	107954	+	NP_054157.1			viral cathepsin-like protein	Ac-v-cath	1403960	ACNVgp128	972	323	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	108179	109717	-					Ac-gp64	1403961	ACNVgp129	1539		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	108179	109717	-	NP_054158.1			major budded virus envelope glycoprotein	Ac-gp64	1403961	ACNVgp129	1539	512	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	109900	110496	+					Ac-p24	1403962	ACNVgp130	597		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	109900	110496	+	NP_054159.1			viral capsid protein	Ac-p24	1403962	ACNVgp130	597	198	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	110524	110844	+					Ac-gp16	1403963	ACNVgp131	321		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	110524	110844	+	NP_054160.1			hypothetical protein	Ac-gp16	1403963	ACNVgp131	321	106	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	110903	111661	+					Ac-PE/pp34	1403964	ACNVgp132	759		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	110903	111661	+	NP_054161.1			major polyhedral calyx protein	Ac-PE/pp34	1403964	ACNVgp132	759	252	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	111873	112532	+					AcOrf-132	1403965	ACNVgp133	660		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	111873	112532	+	NP_054162.1			AcOrf-132 peptide	AcOrf-132	1403965	ACNVgp133	660	219	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	112560	113819	+					Ac-alk-exo	1403966	ACNVgp134	1260		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	112560	113819	+	NP_054163.1			alkaline exonuclease	Ac-alk-exo	1403966	ACNVgp134	1260	419	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	113870	116281	-					Ac-94K	1403967	ACNVgp135	2412		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	113870	116281	-	NP_054164.1			hypothetical protein	Ac-94K	1403967	ACNVgp135	2412	803	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	116492	117391	+					Ac-35K/p35	1403968	ACNVgp136	900		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	116492	117391	+	NP_054165.1			annihilator	Ac-35K/p35	1403968	ACNVgp136	900	299	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	118044	118766	+					Ac-p26	1403969	ACNVgp137	723		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	118044	118766	+	NP_054166.1			hypothetical protein	Ac-p26	1403969	ACNVgp137	723	240	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	118839	119123	+					Ac-p10	1403970	ACNVgp138	285		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	118839	119123	+	NP_054167.1			fibrous body protein	Ac-p10	1403970	ACNVgp138	285	94	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	119135	121072	-					Ac-p74	1403971	ACNVgp139	1938		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	119135	121072	-	NP_054168.1			occlusion-derived virus envelope protein	Ac-p74	1403971	ACNVgp139	1938	645	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	121205	122554	-					Ac-ME53	1403972	ACNVgp140	1350		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	121205	122554	-	NP_054169.1			DNA synthesis regulator	Ac-ME53	1403972	ACNVgp140	1350	449	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	122625	122807	+					AcOrf-140	1403973	ACNVgp141	183		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	122625	122807	+	NP_054170.1			AcOrf-140 peptide	AcOrf-140	1403973	ACNVgp141	183	60	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	122832	128946	+					Ac-IE-01	1403988	ACNVgp142	6115		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	122832	128946	+	NP_054171.1			putative early gene transactivator	Ac-IE-01	1403988	ACNVgp142	1911	636	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	122832	123617	+					Ac-IE-0	1403974	ACNVgp143	786		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	122832	123617	+	NP_054172.1			hypothetical protein	Ac-IE-0	1403974	ACNVgp143	786	261	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	123632	125065	+					Ac-49K	1403975	ACNVgp144	1434		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	123632	125065	+	NP_054173.1			early 49 Daa protein	Ac-49K	1403975	ACNVgp144	1434	477	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	125153	125341	+					Ac-odv-e18	1403976	ACNVgp145	189		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	125153	125341	+	NP_054174.1			occlusion-derived virus envelope protein	Ac-odv-e18	1403976	ACNVgp145	189	62	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	125357	126229	+					Ac-odv-ec27	1403977	ACNVgp146	873		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	125357	126229	+	NP_054175.1			occlusion-derived virus envelope/capsid protein	Ac-odv-ec27	1403977	ACNVgp146	873	290	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	126299	126532	+					AcOrf-145	1403978	ACNVgp147	234		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	126299	126532	+	NP_054176.1			AcOrf-145 peptide	AcOrf-145	1403978	ACNVgp147	234	77	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	126527	127132	-					AcOrf-146	1403979	ACNVgp148	606		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	126527	127132	-	NP_054177.1			AcOrf-146 peptide	AcOrf-146	1403979	ACNVgp148	606	201	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	127198	128946	+					Ac-IE-1	1403980	ACNVgp149	1749		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	127198	128946	+	NP_054178.1			early gene transactivator	Ac-IE-1	1403980	ACNVgp149	1749	582	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	129008	130138	-					Ac-odv-e56	1403981	ACNVgp150	1131		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	129008	130138	-	NP_054179.1			occlusion-derived virus envelope protein	Ac-odv-e56	1403981	ACNVgp150	1131	376	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	130167	130490	-					AcOrf-149	1403982	ACNVgp151	324		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	130167	130490	-	NP_054180.1			AcOrf-149 peptide	AcOrf-149	1403982	ACNVgp151	324	107	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	130456	130755	+					AcOrf-150	1403983	ACNVgp152	300		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	130456	130755	+	NP_054181.1			AcOrf-150 peptide	AcOrf-150	1403983	ACNVgp152	300	99	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	130857	132083	-					Ac-IE-2	1403984	ACNVgp153	1227		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	130857	132083	-	NP_054182.1			early gene transactivator	Ac-IE-2	1403984	ACNVgp153	1227	408	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	132109	132387	-					AcOrf-152	1403985	ACNVgp154	279		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	132109	132387	-	NP_054183.1			AcOrf-152 peptide	AcOrf-152	1403985	ACNVgp154	279	92	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	132526	133491	+					Ac-PE38	1403986	ACNVgp155	966		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	132526	133491	+	NP_054184.1			hypothetical protein	Ac-PE38	1403986	ACNVgp155	966	321	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	133591	133836	+					AcOrf-154	1403987	ACNVgp156	246		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	133591	133836	+	NP_054185.1			AcOrf-154 peptide	AcOrf-154	1403987	ACNVgp156	246	81	
