feature,symbol,name
mRNA,LOC118262338,ZZ-type zinc finger-containing protein 3-like
mRNA,LOC118262332,GTPase-activating Rap/Ran-GAP domain-like protein 3
mRNA,LOC118262333,uncharacterized LOC118262333
mRNA,LOC118262635,"39S ribosomal protein L30, mitochondrial-like"
mRNA,LOC118262531,cyclic AMP-dependent transcription factor ATF-6 alpha-like
mRNA,LOC118262532,uncharacterized LOC118262532
mRNA,LOC118263064,probable E3 ubiquitin-protein ligase HERC2
ncRNA,LOC118263066,uncharacterized LOC118263066
misc_RNA,LOC118263065,leucine-rich repeat-containing protein 40-like
mRNA,LOC118262864,PDZ domain-containing protein 8-like
mRNA,LOC118262502,phosphoglycerate kinase-like
mRNA,LOC118262503,WD repeat-containing protein 5
mRNA,LOC118263166,voltage-dependent calcium channel type A subunit alpha-1-like4
mRNA,LOC118263021,dentin sialophosphoprotein-like
mRNA,LOC118262569,uncharacterized LOC118262569
mRNA,LOC118262547,FMRFamide receptor-like
mRNA,LOC118262549,chymotrypsin-1-like
mRNA,LOC118262856,uncharacterized LOC118262856
mRNA,LOC118263139,uncharacterized LOC118263139
mRNA,LOC118262579,serine/arginine repetitive matrix protein 1-like
mRNA,LOC118262584,"delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial-like"
mRNA,LOC118262585,"delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial-like"
mRNA,LOC118262591,protein OPI10 homolog
mRNA,LOC118262588,cell division cycle 7-related protein kinase-like
mRNA,LOC118262594,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial-like"
mRNA,LOC118262595,cytochrome b5-like
mRNA,LOC118262593,apoptosis regulatory protein Siva-like
mRNA,LOC118262578,protein transport protein Sec16A-like
mRNA,LOC118262590,serine protease Hayan-like
mRNA,LOC118262592,U11/U12 small nuclear ribonucleoprotein 35 kDa protein-like
mRNA,LOC118262589,ubiquitin carboxyl-terminal hydrolase MINDY-3 homolog
mRNA,LOC118262577,protein crumbs-like
mRNA,LOC118262581,nitric oxide-associated protein 1-like
mRNA,LOC118262583,uncharacterized LOC118262583
mRNA,LOC118262582,"delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial-like"
mRNA,LOC118262586,"delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial-like"
mRNA,LOC118262830,protein OPI10 homolog
mRNA,LOC118263109,cell division cycle 7-related protein kinase-like
mRNA,LOC118263111,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial-like"
mRNA,LOC118263112,cytochrome b5-like
mRNA,LOC118263110,apoptosis regulatory protein Siva-like
mRNA,LOC118263171,uncharacterized LOC118263171
mRNA,LOC118263175,uncharacterized LOC118263175
mRNA,LOC118263173,uncharacterized LOC118263173
mRNA,LOC118263174,uncharacterized LOC118263174
mRNA,LOC118262890,serine protease Hayan-like
mRNA,LOC118262891,U11/U12 small nuclear ribonucleoprotein 35 kDa protein-like
mRNA,LOC118262561,ubiquitin carboxyl-terminal hydrolase MINDY-3 homolog
mRNA,LOC118263147,protein crumbs-like
mRNA,LOC118262342,nitric oxide-associated protein 1-like
mRNA,LOC118262880,uncharacterized LOC118262880
mRNA,LOC118262881,putative nuclease HARBI1
mRNA,LOC118262882,uncharacterized LOC118262882
mRNA,LOC118262883,mitochondrial mRNA pseudouridine synthase Trub2-like
mRNA,LOC118262884,PAXIP1-associated glutamate-rich protein 1A-like
mRNA,LOC118262886,box C/D snoRNA protein 1-like
mRNA,LOC118262885,nudC domain-containing protein 1-like
mRNA,LOC118262888,uncharacterized LOC118262888
mRNA,LOC118262887,vesicle-trafficking protein SEC22b-like
mRNA,LOC118263008,ecdysone-induced protein 74EF-like
mRNA,LOC118263009,U7 snRNA-associated Sm-like protein LSm11
mRNA,LOC118263149,ADP-ribosylation factor-like protein 16
mRNA,LOC118262988,zinc finger protein 664-like
mRNA,LOC118262987,dual specificity protein phosphatase MPK-4-like
mRNA,LOC118262929,uncharacterized LOC118262929
mRNA,LOC118262930,uncharacterized LOC118262930
mRNA,LOC118262718,heterogeneous nuclear ribonucleoprotein A1-like
ncRNA,LOC118262817,uncharacterized LOC118262817
mRNA,LOC118263155,ADP-ribosylation factor-like protein 16
mRNA,LOC118262763,zinc finger protein 664-like
mRNA,LOC118262762,dual specificity protein phosphatase MPK-4-like
mRNA,LOC118262935,uncharacterized LOC118262935
mRNA,LOC118262936,uncharacterized LOC118262936
mRNA,LOC118262649,heterogeneous nuclear ribonucleoprotein A1-like
mRNA,LOC118262620,uncharacterized LOC118262620
mRNA,LOC118262560,raf homolog serine/threonine-protein kinase Raf-like
mRNA,LOC118262468,uncharacterized LOC118262468
mRNA,LOC118262470,U3 small nucleolar ribonucleoprotein protein IMP3-like
mRNA,LOC118262469,uncharacterized LOC118262469
mRNA,LOC118262467,RNA-binding protein 45-like
mRNA,LOC118262832,cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2-like
mRNA,LOC118262850,nuclear pore complex protein Nup205-like
mRNA,LOC118263157,homeobox protein MSH-A-like
mRNA,LOC118263158,uncharacterized LOC118263158
mRNA,LOC118263030,uncharacterized LOC118263030
mRNA,LOC118262599,uncharacterized LOC118262599
mRNA,LOC118262598,uncharacterized LOC118262598
mRNA,LOC118262597,innexin shaking-B-like
mRNA,LOC118262541,innexin inx1-like
ncRNA,LOC118262543,uncharacterized LOC118262543
ncRNA,LOC118262542,uncharacterized LOC118262542
mRNA,LOC118262995,innexin inx7-like
mRNA,LOC118262494,innexin inx2
mRNA,LOC118263022,tRNA N(3)-methylcytidine methyltransferase METTL6-like
ncRNA,LOC118263206,small nucleolar RNA snR60/Z15/Z230/Z193/J17
ncRNA,LOC118263210,small nucleolar RNA snR60/Z15/Z230/Z193/J17
ncRNA,LOC118263205,small nucleolar RNA snR60/Z15/Z230/Z193/J17
mRNA,LOC118262619,probable ribosome production factor 1
mRNA,LOC118262294,116 kDa U5 small nuclear ribonucleoprotein component-like
mRNA,LOC118262295,nucleolar complex protein 4 homolog
mRNA,LOC118262296,uncharacterized LOC118262296
mRNA,LOC118262977,putative RNA polymerase II subunit B1 CTD phosphatase RPAP2
mRNA,LOC118262978,"folylpolyglutamate synthase, mitochondrial-like"
misc_RNA,LOC118262979,adenylate kinase 8-like
mRNA,LOC118262976,endoplasmic reticulum chaperone BiP
mRNA,LOC118262980,delta-aminolevulinic acid dehydratase-like
mRNA,LOC118262757,histone-lysine N-methyltransferase EHMT1-like
mRNA,LOC118263031,dual specificity protein kinase TTK-like
mRNA,LOC118262922,spectrin alpha chain-like
mRNA,LOC118262925,protein vav-like
mRNA,LOC118262923,sulfiredoxin-1-like
mRNA,LOC118263058,homeobox protein extradenticle-like
mRNA,LOC118263057,glycine--tRNA ligase-like
mRNA,LOC118263059,pre-mRNA-splicing factor 38B-like
mRNA,LOC118262442,ubiquitin-like protein 5
mRNA,LOC118262441,surfeit locus protein 4 homolog
mRNA,LOC118262440,iron-sulfur protein NUBPL-like
mRNA,LOC118263159,uncharacterized LOC118263159
mRNA,LOC118262487,uncharacterized LOC118262487
mRNA,LOC118263118,protein SMG7-like
mRNA,LOC118263119,BTB and MATH domain-containing protein 43-like
mRNA,LOC118263120,casein kinase II subunit beta
mRNA,LOC118262839,TD and POZ domain-containing protein 1-like
mRNA,LOC118263026,probable pathogenesis-related protein CaO19.6200
mRNA,LOC118262606,DNA-directed RNA polymerase II subunit RPB9-like
mRNA,LOC118262784,40S ribosomal protein S23
mRNA,LOC118263160,zinc finger BED domain-containing protein 1-like
mRNA,LOC118263073,receptor-mediated endocytosis protein 6 homolog
mRNA,LOC118263074,dual specificity mitogen-activated protein kinase kinase 7-like
mRNA,LOC118263076,uridine-cytidine kinase-like
mRNA,LOC118262526,multifunctional protein ADE2-like
mRNA,LOC118262525,amidophosphoribosyltransferase-like
mRNA,LOC118263034,xaa-Pro aminopeptidase 3-like
mRNA,LOC118262504,uncharacterized LOC118262504
mRNA,LOC118262506,cysteine-rich with EGF-like domain protein 2
mRNA,LOC118262717,uncharacterized LOC118262717
mRNA,LOC118262394,sulfiredoxin-1-like
mRNA,LOC118262395,protein vav-like
ncRNA,LOC118262396,uncharacterized LOC118262396
mRNA,LOC118262349,spectrin alpha chain-like
mRNA,LOC118263032,dual specificity protein kinase TTK-like
mRNA,LOC118262755,histone-lysine N-methyltransferase EHMT2-like
mRNA,LOC118263165,histone-lysine N-methyltransferase EHMT1-like
mRNA,LOC118262986,delta-aminolevulinic acid dehydratase-like
mRNA,LOC118262982,endoplasmic reticulum chaperone BiP
mRNA,LOC118262985,adenylate kinase 8-like
mRNA,LOC118262984,"folylpolyglutamate synthase, mitochondrial-like"
mRNA,LOC118262983,putative RNA polymerase II subunit B1 CTD phosphatase RPAP2
mRNA,LOC118262307,uncharacterized LOC118262307
mRNA,LOC118262308,nucleolar complex protein 4 homolog
mRNA,LOC118262309,116 kDa U5 small nuclear ribonucleoprotein component-like
mRNA,LOC118262621,probable ribosome production factor 1
ncRNA,LOC118263209,small nucleolar RNA snR60/Z15/Z230/Z193/J17
ncRNA,LOC118263207,small nucleolar RNA snR60/Z15/Z230/Z193/J17
ncRNA,LOC118263204,small nucleolar RNA snR60/Z15/Z230/Z193/J17
mRNA,LOC118262512,tRNA N(3)-methylcytidine methyltransferase METTL6-like
mRNA,LOC118262545,innexin inx2
mRNA,LOC118262604,innexin inx7-like
mRNA,LOC118262452,innexin inx1-like
mRNA,LOC118262473,innexin shaking-B-like
mRNA,LOC118262476,uncharacterized LOC118262476
mRNA,LOC118263167,uncharacterized LOC118263167
mRNA,LOC118263168,uncharacterized LOC118263168
mRNA,LOC118262840,homeobox protein MSH-A-like
mRNA,LOC118262744,nuclear pore complex protein Nup205-like
mRNA,LOC118262753,cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2-like
mRNA,LOC118262482,voltage-dependent calcium channel type A subunit alpha-1-like
mRNA,LOC118262371,uncharacterized LOC118262371
mRNA,LOC118262372,uncharacterized LOC118262372
mRNA,LOC118263126,protein obstructor-E-like
mRNA,LOC118263124,protein obstructor-E-like
mRNA,LOC118263122,protein obstructor-E-like
mRNA,LOC118263121,protein obstructor-E-like
mRNA,LOC118263169,probable chitinase 10
mRNA,LOC118263123,protein obstructor-E-like
mRNA,LOC118262771,lipase 3-like
mRNA,LOC118262713,putative nuclease HARBI1
mRNA,LOC118262751,UPF0764 protein C16orf89-like
mRNA,LOC118262790,uncharacterized LOC118262790
mRNA,LOC118262944,thioredoxin-like protein 1
mRNA,LOC118262943,U4/U6.U5 tri-snRNP-associated protein 2-like
mRNA,LOC118262945,protein purity of essence-like
mRNA,LOC118263055,aquaporin AQPAe.a-like
mRNA,LOC118262828,SET and MYND domain-containing protein 4-like
mRNA,LOC118262829,tctex1 domain-containing protein 2-like
mRNA,LOC118262819,stress-activated map kinase-interacting protein 1-like
mRNA,LOC118262449,uncharacterized LOC118262449
mRNA,LOC118262448,rab GTPase-activating protein 1-like
mRNA,LOC118263020,serine/arginine repetitive matrix protein 2-like
mRNA,LOC118263098,ras-related protein Rab-9B-like
mRNA,LOC118263099,nuclear hormone receptor FTZ-F1 beta-like
mRNA,LOC118263019,high choriolytic enzyme 2-like
mRNA,LOC118262711,seminal metalloprotease 1-like
mRNA,LOC118263056,seminal metalloprotease 1-like
mRNA,LOC118262866,homeobox protein aristaless-like 4
mRNA,LOC118262867,mitochondrial cardiolipin hydrolase-like
mRNA,LOC118262873,estradiol 17-beta-dehydrogenase 8-like
mRNA,LOC118262872,deoxynucleotidyltransferase terminal-interacting protein 2-like
mRNA,LOC118263087,chymotrypsin-2-like
mRNA,LOC118262805,beta-arrestin-1-like
mRNA,LOC118262892,protein obstructor-E-like
mRNA,LOC118262534,kynurenine--oxoglutarate transaminase 3-like
mRNA,LOC118262535,UPF0605 protein CG18335-like
mRNA,LOC118262533,elongator complex protein 3
mRNA,LOC118262381,putative uncharacterized protein DDB_G0282133
mRNA,LOC118262630,uncharacterized protein C1orf131-like
mRNA,LOC118262477,histone-lysine N-methyltransferase ASHR1-like
mRNA,LOC118262478,RNA-binding protein 45-like
mRNA,LOC118262479,fizzy-related protein homolog
mRNA,LOC118263136,uncharacterized LOC118263136
mRNA,LOC118262632,extensin-like
mRNA,LOC118262826,uncharacterized LOC118262826
mRNA,LOC118262824,60S ribosomal protein L7a-like
ncRNA,LOC118263202,small nucleolar RNA SNORD36
mRNA,LOC118262747,uncharacterized LOC118262747
mRNA,LOC118262940,uncharacterized LOC118262940
ncRNA,LOC118263141,uncharacterized LOC118263141
ncRNA,LOC118263140,uncharacterized LOC118263140
mRNA,LOC118262279,uncharacterized LOC118262279
mRNA,LOC118262278,zinc finger protein ZFMSA12A-like
mRNA,LOC118262454,uncharacterized LOC118262454
mRNA,LOC118262455,UDP-xylose and UDP-N-acetylglucosamine transporter-like
mRNA,LOC118262274,RNA-binding protein 1-like
ncRNA,LOC118263212,small nucleolar RNA SNORA53
mRNA,LOC118262272,neuropathy target esterase sws-like
ncRNA,LOC118263196,U1 spliceosomal RNA
mRNA,LOC118262273,uncharacterized LOC118262273
mRNA,LOC118262737,uncharacterized LOC118262737
mRNA,LOC118262610,uncharacterized LOC118262610
mRNA,LOC118262321,centrosomal protein of 290 kDa-like
mRNA,LOC118262320,neurogenic locus Notch protein-like
mRNA,LOC118262820,5-hydroxytryptamine receptor 1B-like
mRNA,LOC118262821,prion-like-(Q/N-rich) domain-bearing protein 25
mRNA,LOC118263176,uncharacterized LOC118263176
mRNA,LOC118263177,fizzy-related protein homolog
ncRNA,LOC118262852,uncharacterized LOC118262852
mRNA,LOC118263179,uncharacterized LOC118263179
mRNA,LOC118263035,extensin-like
mRNA,LOC118262646,uncharacterized LOC118262646
mRNA,LOC118263181,uncharacterized LOC118263181
mRNA,LOC118262928,60S ribosomal protein L7a-like
ncRNA,LOC118263200,small nucleolar RNA SNORD36
mRNA,LOC118263007,uncharacterized LOC118263007
mRNA,LOC118262746,uncharacterized LOC118262746
mRNA,LOC118263089,gastrula zinc finger protein XlCGF57.1-like
mRNA,LOC118262796,uncharacterized LOC118262796
mRNA,LOC118262647,UDP-xylose and UDP-N-acetylglucosamine transporter-like
mRNA,LOC118262648,RNA-binding protein 1-like
ncRNA,LOC118263213,small nucleolar RNA SNORA53
mRNA,LOC118262574,neuropathy target esterase sws-like
ncRNA,LOC118263208,U1 spliceosomal RNA
mRNA,LOC118262576,uncharacterized LOC118262576
mRNA,LOC118263185,uncharacterized LOC118263185
mRNA,LOC118263186,uncharacterized LOC118263186
mRNA,LOC118262997,centrosomal protein of 290 kDa-like
mRNA,LOC118262450,neurogenic locus Notch protein-like
mRNA,LOC118262601,"ATP synthase subunit g, mitochondrial-like"
mRNA,LOC118262893,5-hydroxytryptamine receptor 1B-like
mRNA,LOC118262894,prion-like-(Q/N-rich) domain-bearing protein 25
mRNA,LOC118263190,uncharacterized LOC118263190
mRNA,LOC118262712,uncharacterized LOC118262712
mRNA,LOC118262368,uncharacterized LOC118262368
mRNA,LOC118262369,cysteine-rich with EGF-like domain protein 2
mRNA,LOC118262994,xaa-Pro aminopeptidase 3-like
mRNA,LOC118262366,amidophosphoribosyltransferase-like
mRNA,LOC118262367,multifunctional protein ADE2-like
mRNA,LOC118262550,uridine-cytidine kinase-like
mRNA,LOC118262551,dual specificity mitogen-activated protein kinase kinase 7-like
mRNA,LOC118262552,receptor-mediated endocytosis protein 6 homolog
mRNA,LOC118263191,zinc finger BED domain-containing protein 1-like
mRNA,LOC118262802,40S ribosomal protein S23
mRNA,LOC118262607,DNA-directed RNA polymerase II subunit RPB9-like
mRNA,LOC118263024,probable pathogenesis-related protein CaO19.6200
mRNA,LOC118263194,casein kinase II subunit beta-like
mRNA,LOC118263063,inactive ubiquitin carboxyl-terminal hydrolase MINDY-4B-like
mRNA,LOC118262858,uncharacterized LOC118262858
mRNA,LOC118262779,uncharacterized LOC118262779
mRNA,LOC118262849,uncharacterized LOC118262849
mRNA,LOC118263011,uncharacterized LOC118263011
mRNA,LOC118262921,uncharacterized LOC118262921
mRNA,LOC118263156,U-scoloptoxin(19)-Sm1a-like
mRNA,LOC118262758,U-scoloptoxin(19)-Sm1a-like
mRNA,LOC118262853,"neuroligin-4, Y-linked-like"
ncRNA,LOC118262855,uncharacterized LOC118262855
mRNA,LOC118263195,uncharacterized LOC118263195
mRNA,LOC118263002,cytochrome P450 6B5-like
mRNA,LOC118263005,cytochrome P450 6B6-like
mRNA,LOC118262752,uncharacterized LOC118262752
mRNA,LOC118262642,cytochrome P450 6B6-like
mRNA,LOC118263083,cytochrome P450 6k1-like
mRNA,LOC118262181,uncharacterized LOC118262181
mRNA,LOC118262183,DNA topoisomerase 2-binding protein 1-B-like
mRNA,LOC118262897,pre-rRNA-processing protein TSR2 homolog
mRNA,LOC118263069,"alpha-1,2-mannosyltransferase ALG9-like"
mRNA,LOC118263070,tubulin beta chain-like
mRNA,LOC118263072,tubulin beta chain
mRNA,LOC118263071,tubulin beta-4B chain-like
mRNA,LOC118262730,diacylglycerol kinase eta-like
mRNA,LOC118262729,uncharacterized LOC118262729
mRNA,LOC118262728,putative nuclease HARBI1
mRNA,LOC118262727,cytochrome P450 9e2-like
mRNA,LOC118262184,"probable glutamate--tRNA ligase, mitochondrial"
mRNA,LOC118262488,DCN1-like protein 1
mRNA,LOC118262608,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2-like
mRNA,LOC118262816,probable pseudouridine-5'-phosphatase
mRNA,LOC118262232,glypican-6-like
mRNA,LOC118262233,kelch domain-containing protein 4-like
mRNA,LOC118262625,general transcription factor IIF subunit 1-like
mRNA,LOC118262624,carcinine transporter-like
mRNA,LOC118262350,E3 ubiquitin-protein ligase RNF13-like
mRNA,LOC118262803,bile salt-activated lipase-like
mRNA,LOC118262638,PAX3- and PAX7-binding protein 1-like
mRNA,LOC118262435,60S acidic ribosomal protein P0-like
ncRNA,LOC118263211,small nucleolar RNA psi28S-1192
mRNA,LOC118262436,protein arginine N-methyltransferase 9-like
mRNA,LOC118262437,probable E3 ubiquitin-protein ligase HERC4
mRNA,LOC118262438,zinc finger protein 62 homolog
mRNA,LOC118262439,neural Wiskott-Aldrich syndrome protein-like
mRNA,LOC118262378,uncharacterized LOC118262378
mRNA,LOC118262377,probable ATP-dependent RNA helicase DDX23
mRNA,LOC118262379,exonuclease 3'-5' domain-containing protein 2-like
mRNA,LOC118262380,uncharacterized LOC118262380
mRNA,LOC118262609,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A-like
mRNA,LOC118262208,anoctamin-1-like
mRNA,LOC118262207,adenylyl cyclase 78C-like
mRNA,LOC118263023,adenylyl cyclase 78C-like
mRNA,LOC118262938,adenylyl cyclase 78C-like
mRNA,LOC118262939,"FERM, ARHGEF and pleckstrin domain-containing protein 1-like"
mRNA,LOC118262937,uncharacterized LOC118262937
mRNA,LOC118262769,probable phospholipid-transporting ATPase IIB
mRNA,LOC118262428,uncharacterized LOC118262428
mRNA,LOC118262427,replication factor C subunit 1-like
mRNA,LOC118262429,uncharacterized LOC118262429
mRNA,LOC118262430,uncharacterized LOC118262430
mRNA,LOC118263189,"aspartate aminotransferase, cytoplasmic-like"
mRNA,LOC118263188,periodic tryptophan protein 1 homolog
mRNA,LOC118263187,uncharacterized LOC118263187
mRNA,LOC118262834,protein lifeguard 4-like
mRNA,LOC118262451,acetylcholinesterase-like
mRNA,LOC118263051,uncharacterized LOC118263051
mRNA,LOC118263052,uncharacterized LOC118263052
mRNA,LOC118262973,uncharacterized LOC118262973
mRNA,LOC118263150,uncharacterized LOC118263150
mRNA,LOC118263164,uncharacterized LOC118263164
mRNA,LOC118263085,uncharacterized LOC118263085
mRNA,LOC118262627,uncharacterized LOC118262627
mRNA,LOC118262628,diamine acetyltransferase 2-like
ncRNA,LOC118262629,uncharacterized LOC118262629
mRNA,LOC118263184,transcription factor BCFI-like
mRNA,LOC118262530,transcription factor GATA-6-like
mRNA,LOC118262910,GATA-binding factor A-like
mRNA,LOC118262911,diamine acetyltransferase 2-like
mRNA,LOC118262909,zinc finger protein 93-like
mRNA,LOC118262912,protocadherin-16-like
mRNA,LOC118262914,uncharacterized LOC118262914
mRNA,LOC118262913,dnaJ homolog subfamily C member 3-like
mRNA,LOC118262915,60S ribosomal protein L35a-like
mRNA,LOC118262370,uncharacterized LOC118262370
mRNA,LOC118262918,ichor-like
mRNA,LOC118263036,uncharacterized LOC118263036
mRNA,LOC118262554,peroxiredoxin 1-like
ncRNA,LOC118262623,uncharacterized LOC118262623
mRNA,LOC118262622,uncharacterized LOC118262622
mRNA,LOC118262827,"neuroligin-4, X-linked-like"
mRNA,LOC118262723,three prime repair exonuclease 2-like
mRNA,LOC118263028,uncharacterized LOC118263028
mRNA,LOC118262193,neuroligin-3-like
mRNA,LOC118262772,uncharacterized LOC118262772
mRNA,LOC118262194,piggyBac transposable element-derived protein 3-like
ncRNA,LOC118263108,uncharacterized LOC118263108
mRNA,LOC118262926,"neuroligin-4, Y-linked-like"
mRNA,LOC118262651,inactive ubiquitin carboxyl-terminal hydrolase MINDY-4B-like
mRNA,LOC118262195,uncharacterized LOC118262195
mRNA,LOC118262196,uncharacterized protein K02A2.6-like
mRNA,LOC118262998,uncharacterized LOC118262998
mRNA,LOC118263182,uncharacterized LOC118263182
mRNA,LOC118263183,uncharacterized LOC118263183
mRNA,LOC118262841,uncharacterized LOC118262841
mRNA,LOC118262999,uncharacterized LOC118262999
mRNA,LOC118262942,uncharacterized LOC118262942
mRNA,LOC118262197,U-scoloptoxin(19)-Sm1a-like
mRNA,LOC118262745,U-scoloptoxin(19)-Sm1a-like
mRNA,LOC118262889,"neuroligin-4, Y-linked-like"
mRNA,LOC118262785,cytochrome P450 6B5-like
mRNA,LOC118262947,cytochrome P450 6B6-like
mRNA,LOC118262778,uncharacterized LOC118262778
mRNA,LOC118263048,cytochrome P450 6B6-like
mRNA,LOC118263077,cytochrome P450 6k1-like
mRNA,LOC118262818,uncharacterized LOC118262818
mRNA,LOC118262823,DNA topoisomerase 2-binding protein 1-like
mRNA,LOC118262900,pre-rRNA-processing protein TSR2 homolog
mRNA,LOC118263078,"alpha-1,2-mannosyltransferase ALG9-like"
mRNA,LOC118263079,tubulin beta chain-like
mRNA,LOC118263081,tubulin beta chain
mRNA,LOC118263080,tubulin beta-4B chain-like
mRNA,LOC118262466,acetylcholinesterase-like
mRNA,LOC118263053,uncharacterized LOC118263053
mRNA,LOC118263054,uncharacterized LOC118263054
mRNA,LOC118262989,uncharacterized LOC118262989
mRNA,LOC118263148,uncharacterized LOC118263148
mRNA,LOC118263162,uncharacterized LOC118263162
mRNA,LOC118263086,uncharacterized LOC118263086
ncRNA,LOC118263215,U4 spliceosomal RNA
mRNA,LOC118263029,uncharacterized LOC118263029
mRNA,LOC118262724,uncharacterized LOC118262724
mRNA,LOC118262780,uncharacterized LOC118262780
mRNA,LOC118262782,MATH and LRR domain-containing protein PFE0570w-like
mRNA,LOC118262919,repressed by EFG1 protein 1-like
mRNA,LOC118262822,probable G-protein coupled receptor No18
mRNA,LOC118262206,uncharacterized LOC118262206
mRNA,LOC118262557,inosine-uridine preferring nucleoside hydrolase-like
mRNA,LOC118262556,probable uridine nucleosidase 2
mRNA,LOC118262558,probable uridine nucleosidase 2
mRNA,LOC118262463,5-hydroxytryptamine receptor 2B-like
mRNA,LOC118262209,gustatory receptor for sugar taste 64a-like
mRNA,LOC118262210,gustatory receptor for sugar taste 64a-like
mRNA,LOC118262800,gustatory receptor for sugar taste 64a-like
mRNA,LOC118262798,gustatory receptor for sugar taste 64e-like
mRNA,LOC118262799,gustatory receptor for sugar taste 64f-like
mRNA,LOC118262211,uncharacterized LOC118262211
mRNA,LOC118262217,gustatory receptor for sugar taste 64f-like
mRNA,LOC118262801,uncharacterized LOC118262801
mRNA,LOC118262219,gustatory receptor 5a for trehalose-like
mRNA,LOC118262948,gustatory receptor 5a for trehalose-like
mRNA,LOC118262524,peptidyl-prolyl cis-trans isomerase-like
mRNA,LOC118263062,uncharacterized LOC118263062
mRNA,LOC118262941,protein hunchback-like
mRNA,LOC118263013,proteasome subunit beta type-6-like
mRNA,LOC118262267,PHD finger protein 20-like
mRNA,LOC118262268,small G protein signaling modulator 3 homolog
mRNA,LOC118262991,60S acidic ribosomal protein P1
mRNA,LOC118262540,"28S ribosomal protein S14, mitochondrial-like"
mRNA,LOC118262539,Fanconi anemia group D2 protein-like
mRNA,LOC118262859,60S ribosomal protein L10a
mRNA,LOC118262793,uncharacterized LOC118262793
mRNA,LOC118262791,phospholipid phosphatase 6-like0
mRNA,LOC118262573,single-pass membrane and coiled-coil domain-containing protein 4-like
mRNA,LOC118262917,thiamine transporter 2-like
mRNA,LOC118263061,zinc finger protein 16-like
mRNA,LOC118263060,enolase-phosphatase E1-like
mRNA,LOC118263027,MFS-type transporter SLC18B1-like
mRNA,LOC118263038,protein takeout-like
mRNA,LOC118262843,protein takeout-like
mRNA,LOC118263018,uncharacterized LOC118263018
mRNA,LOC118263001,circadian clock-controlled protein daywake-like
mRNA,LOC118262220,protein takeout-like
mRNA,LOC118262221,uncharacterized protein DDB_G0290685-like
mRNA,LOC118262190,protein takeout-like
mRNA,LOC118262188,uncharacterized LOC118262188
mRNA,LOC118262185,uncharacterized LOC118262185
mRNA,LOC118262192,protein takeout-like
mRNA,LOC118262222,uncharacterized LOC118262222
mRNA,LOC118262191,protein takeout-like
mRNA,LOC118262187,uncharacterized LOC118262187
mRNA,LOC118262186,uncharacterized LOC118262186
mRNA,LOC118263049,protein takeout-like
mRNA,LOC118262276,uncharacterized LOC118262276
mRNA,LOC118262275,transcription factor E2F4-like
mRNA,LOC118262741,protein archease-like
mRNA,LOC118262740,uncharacterized LOC118262740
mRNA,LOC118262739,pre-mRNA 3'-end-processing factor FIP1-like
mRNA,LOC118262738,maternal protein pumilio-like
ncRNA,LOC118262742,uncharacterized LOC118262742
mRNA,LOC118262509,protein mago nashi homolog
mRNA,LOC118262865,40S ribosomal protein S8
mRNA,LOC118262223,mucin-17-like
mRNA,LOC118262423,uncharacterized protein CG7065-like
mRNA,LOC118262491,DNA polymerase alpha catalytic subunit-like
mRNA,LOC118262492,DNA replication licensing factor Mcm7-like
mRNA,LOC118262453,division abnormally delayed protein-like
mRNA,LOC118262497,HBS1-like protein
mRNA,LOC118262498,ras-related GTP-binding protein A
mRNA,LOC118262485,"HIG1 domain family member 1A, mitochondrial-like"
mRNA,LOC118262483,serine/threonine-protein phosphatase 2A activator-like
mRNA,LOC118262484,beta carbonic anhydrase 1-like
mRNA,LOC118262472,HIG1 domain family member 1C-like
mRNA,LOC118262471,uncharacterized LOC118262471
mRNA,LOC118262224,glycine-rich cell wall structural protein 1.8-like
mRNA,LOC118262225,multidrug resistance-associated protein 4-like
ncRNA,LOC118263198,U4 spliceosomal RNA
mRNA,LOC118262775,exocyst complex component 2-like
ncRNA,LOC118263216,U4 spliceosomal RNA
mRNA,LOC118262733,growth hormone-regulated TBC protein 1-A-like
mRNA,LOC118262734,mitochondrial import inner membrane translocase subunit TIM14-like
mRNA,LOC118262844,importin-5-like
mRNA,LOC118262845,choline-phosphate cytidylyltransferase A-like
ncRNA,LOC118262848,uncharacterized LOC118262848
mRNA,LOC118262846,protein canopy homolog 4-like
mRNA,LOC118262847,N-acetyltransferase 9-like
mRNA,LOC118262226,division abnormally delayed protein-like
mRNA,LOC118262212,HBS1-like protein
mRNA,LOC118262214,ras-related GTP-binding protein A
mRNA,LOC118262216,"HIG1 domain family member 1A, mitochondrial-like"
mRNA,LOC118262213,serine/threonine-protein phosphatase 2A activator-like
mRNA,LOC118262215,beta carbonic anhydrase 1-like
mRNA,LOC118262375,HIG1 domain family member 1C-like
