ATP6	ATP6^ATP6_ANOQU^ATP6_AEDAL^Tm1
LOC118267960	LOC118267960^GAGJ_DROME^Tm1
LOC118267961	LOC118267961^TF29_SCHPO^zf-CCHC
LOC118267962	LOC118267962^Tm4
LOC118267963	LOC118267963^Tm1
LOC118267964	LOC118267964^SNMP1_MAMBR^Fer2_2^Tm1
LOC118267965	LOC118267965^sigP^Tm1
LOC118267967	LOC118267967^ALRF2_MOUSE^RRM_1
LOC118267968	LOC118267968^THO4B_XENLA^RRM_1
LOC118267969	LOC118267969^THO4B_XENLA^RRM_1^sigP
LOC118267970	LOC118267970^THO4B_XENLA^RRM_1^Tm1
LOC118267971	LOC118267971^Tm2
LOC118267972	LOC118267972^THO4B_XENLA^RRM_1^sigP
LOC118267973	LOC118267973^THO4B_XENLA^RRM_1
LOC118267974	LOC118267974^Tm2
LOC118267975	LOC118267975^THO4B_XENLA^RRM_1^sigP
LOC118267977	LOC118267977^THOC4_TAEGU^THO4A_XENLA^RRM_1
LOC118267978	LOC118267978^MPRD_MOUSE^MPRD_RAT^ATG27^sigP^Tm1
LOC118267979	LOC118267979^PBP_GOBP
LOC118267980	LOC118267980^PBP_GOBP^sigP
LOC118267981	LOC118267981^PBP_GOBP^sigP^Tm1
LOC118267982	LOC118267982^OBP2_MANSE^PBP_GOBP^sigP
LOC118267983	LOC118267983^PBP_GOBP^sigP
LOC118267984	LOC118267984^OB28A_DROME^PBP_GOBP^sigP^Tm1
LOC118267985	LOC118267985^OBP72_ANOGA^PBP_GOBP^sigP^Tm1
LOC118267986	LOC118267986^PBP_GOBP^sigP^Tm1
LOC118267987	LOC118267987^PBP_GOBP^sigP^Tm1
LOC118267988	LOC118267988^OB56D_DROME^OB28A_DROME^PBP_GOBP^sigP^Tm1
LOC118267989	LOC118267989^PBP_GOBP^sigP^Tm1
LOC118267990	LOC118267990^OBP72_ANOGA^PBP_GOBP^sigP^Tm1
LOC118267991	LOC118267991^PBP_GOBP^sigP^Tm1
LOC118267992	LOC118267992^OBP72_ANOGA^PBP_GOBP^sigP^Tm1
LOC118267993	LOC118267993^PBP_GOBP^sigP^Tm1
LOC118267994	LOC118267994^LIPS_ICTTR^HSL_N^sigP^Tm1
LOC118267995	LOC118267995^BL1S2_DROME^BLOC1_2^sigP
LOC118267996	LOC118267996^CP301_DROME^p450^sigP^Tm1
LOC118267997	LOC118267997^TCAB1_DROME^WD40^Tm1
LOC118267998	LOC118267998^SAN_DROME^Acetyltransf_10^sigP
LOC118267999	LOC118267999^LIN52_DANRE^LIN52_TETNG^LIN52
LOC118268000	LOC118268000^HMGN5_RAT^sigP^Tm3
LOC118268001	LOC118268001^TISB_RAT^TISB_HUMAN^TIS11_DROME^zf-CCCH
LOC118268002	LOC118268002^Tm4
LOC118268003	LOC118268003^sigP^Tm1
LOC118268004	LOC118268004^RCOR_DROME^RCOR2_DANRE^ELM2^Tm1
LOC118268005	LOC118268005^UNC42_CAEEL^Homeodomain
LOC118268006	LOC118268006^Tm4
LOC118268007	LOC118268007^MCFD2_RAT^sigP^Tm1
LOC118268008	LOC118268008^PXDC2_MOUSE^PSI^Tm1
LOC118268009	LOC118268009^sigP^Tm1
LOC118268028	LOC118268028^LRRNT_2^Tm1
LOC118268059	LOC118268059^PEPT1_DROME^PTR2^Tm10
LOC118268070	LOC118268070^MBD5_HUMAN^F-box-like^sigP^Tm1
LOC118268071	LOC118268071^GLUCL_DROME^GLRA3_HUMAN^Neur_chan_LBD^sigP^Tm4
LOC118268072	LOC118268072^SMOC1_MOUSE^Kazal_1^sigP
LOC118268073	LOC118268073^TXND_THEPA^Thioredoxin^sigP^Tm1
LOC118268074	LOC118268074^ELMD1_MOUSE^ELMO_CED12^Tm1
LOC118268075	LOC118268075^PIGF_HUMAN^PIG-F^Tm6
LOC118268076	LOC118268076^PRP17_HUMAN^WD40^sigP^Tm2
LOC118268077	LOC118268077^HEM0_OPSTA^Aminotran_1_2^sigP
LOC118268079	LOC118268079^WASF1_BOVIN^sigP^Tm1
LOC118268080	LOC118268080^TET5A_HUMAN^TET5C_DANRE^NTP_transf_7
LOC118268081	LOC118268081^HSP7D_MANSE^HSP70^Tm1
LOC118268082	LOC118268082^MOCOS_BOMMO^Aminotran_5^Tm1
LOC118268083	LOC118268083^LIP3_DROME^Abhydro_lipase^Tm1
LOC118268084	LOC118268084^zf-CCHC_4
LOC118268085	LOC118268085^RB27A_RAT^Arf
LOC118268086	LOC118268086^MIEN1_HUMAN^Rdx^sigP
LOC118268087	LOC118268087^VINEX_HUMAN^SRBS1_MOUSE^Sorb^sigP^Tm1
LOC118268088	LOC118268088^AMPM_HELVI^Peptidase_M1_N^Tm4
LOC118268089	LOC118268089^AMPN_MANSE^Peptidase_M1_N^sigP^Tm1
LOC118268090	LOC118268090^AMPN_MANSE
LOC118268092	LOC118268092^IRAK4_BOVIN^Death_2^Tm2
LOC118268093	LOC118268093^Tm1
LOC118268094	LOC118268094^CG025_XENTR^CG025_RAT^DUF5614
LOC118268095	LOC118268095^PA2G4_MOUSE^Peptidase_M24^sigP^Tm1
LOC118268096	LOC118268096^MIC13_DROME^QIL1^Tm1
LOC118268097	LOC118268097^Tm1
LOC118268098	LOC118268098^ZMIZ1_HUMAN^zf-MIZ^Tm3
LOC118268099	LOC118268099^Tm2
LOC118268100	LOC118268100^Tm2
LOC118268101	LOC118268101^sigP^Tm1
LOC118268102	LOC118268102^PI4KB_XENLA^PI3_PI4_kinase^sigP
LOC118268103	LOC118268103^ATPI1_ACTTE^Kunitz_BPTI^sigP^Tm1
LOC118268104	LOC118268104^CYB5R_DROME^Cyt-b5^sigP^Tm4
LOC118268105	LOC118268105^CYB5R_DROME^Cyt-b5^sigP^Tm4
LOC118268106	LOC118268106^DUF1759^Tm1
LOC118268107	LOC118268107^CYB5R_DROME^Cyt-b5^Tm4
LOC118268110	LOC118268110^CMC_DROME^EF-hand_5^EF-hand_7^sigP
LOC118268111	LOC118268111^TFPI1_MACMU^TFPI1_RABIT^Kunitz_BPTI^sigP
LOC118268112	LOC118268112^HPXW_KLEP7^G_glu_transpept^Tm1
LOC118268113	LOC118268113^sigP
LOC118268114	LOC118268114^FBX28_HUMAN^F-box
LOC118268115	LOC118268115^VPP1_XENLA^V_ATPase_I^sigP^Tm1
LOC118268116	LOC118268116^KTNA1_CHICK^AAA
LOC118268117	LOC118268117^CCAR1_MOUSE^S1-like^sigP^Tm1
LOC118268118	LOC118268118^ABI1_MOUSE^Abi_HHR^Tm1
LOC118268119	LOC118268119^TT21B_HUMAN^TPR_3^sigP^Tm2
LOC118268120	LOC118268120^VPP1_XENLA^V_ATPase_I^sigP^Tm1
LOC118268121	LOC118268121^sigP^Tm1
LOC118268122	LOC118268122^AMOT_HUMAN^Angiomotin_C^Tm1
LOC118268123	LOC118268123^DYIN_DROME^Dynein_IC2^Tm1
LOC118268124	LOC118268124^Peptidase_M2^Tm1
LOC118268125	LOC118268125^Tm2
LOC118268126	LOC118268126^Gal-bind_lectin^Tm1
LOC118268127	LOC118268127^sigP
LOC118268128	LOC118268128^Tm1
LOC118268129	LOC118268129^Tm1
LOC118268131	LOC118268131^ACO11_TRINI^FA_desaturase^Tm2
LOC118268132	LOC118268132^RDX_DROME^MATH
LOC118268133	LOC118268133^sigP^Tm1
LOC118268134	LOC118268134^HYPK_MOUSE^HYPK_UBA^Tm1
LOC118268135	LOC118268135^DPS1_HUMAN^polyprenyl_synt
LOC118268136	LOC118268136^SPNF_DROME^Zn-C2H2_12
LOC118268137	LOC118268137^FHOD3_HUMAN^FH2
LOC118268138	LOC118268138^RM32_DROME^Ribosomal_L32p^Tm1
LOC118268140	LOC118268140^ESTJ_TRICA^COesterase
LOC118268141	LOC118268141^IMA7_BOVIN^IBB
LOC118268143	LOC118268143^MA1A1_SPOFR^Glyco_hydro_47^Tm1
LOC118268144	LOC118268144^Tm1
LOC118268145	LOC118268145^METK_DROME^S-AdoMet_synt_N
LOC118268146	LOC118268146^YM67_CAEEL^Peptidase_S28^sigP^Tm1
LOC118268147	LOC118268147^Tm1
LOC118268149	LOC118268149^GPDA_DROME^NAD_Gly3P_dh_N^Tm1
LOC118268150	LOC118268150^sigP^Tm1
LOC118268151	LOC118268151^PCID2_DROME^PCI
LOC118268152	LOC118268152^VPP1_XENLA^V_ATPase_I^sigP^Tm7
LOC118268153	LOC118268153^TT21B_HUMAN^TPR_3^sigP^Tm1
LOC118268154	LOC118268154^GNAQ_DROME^GNAQ_HOMAM^G-alpha
LOC118268155	LOC118268155^Tm1
LOC118268156	LOC118268156^CONT_DROME^Ig_3^sigP^Tm1
LOC118268157	LOC118268157^HERC4_MOUSE^HERC4_RAT^HECT^RCC1_2^sigP^Tm1
LOC118268158	LOC118268158^DUF4749^sigP^Tm2
LOC118268159	LOC118268159^NRX4_DROME^EGF^F5_F8_type_C^sigP^Tm1
LOC118268160	LOC118268160^ACES_LEPDE^COesterase^sigP^Tm1
LOC118268161	LOC118268161^INSV_DROME^BEN^Tm1
LOC118268162	LOC118268162^TLL1_XENLA^Astacin^sigP^Tm1
LOC118268163	LOC118268163^SC11C_PONAB^Peptidase_S24^Tm1
LOC118268165	LOC118268165^ZN800_MOUSE^ZN800_HUMAN^zf-met^sigP^Tm2
LOC118268166	LOC118268166^UBA3_DANRE^ThiF^Tm1
LOC118268167	LOC118268167^GNAQ_DROME^GNAQ_HOMAM^G-alpha
LOC118268168	LOC118268168^TBCD_HUMAN^TFCD_C^Tm1
LOC118268169	LOC118268169^CALCR_HUMAN^HRM^Tm6
LOC118268170	LOC118268170^DFP3_ANTMY^Reeler^sigP
LOC118268171	LOC118268171^AN32A_DROME^AN32A_DROPS^LRR_9^Tm2
LOC118268172	LOC118268172^CI114_HUMAN^Methyltrn_RNA_3
LOC118268173	LOC118268173^RPE_MOUSE^Ribul_P_3_epim
LOC118268174	LOC118268174^PUR9_CHICK^MGS^Tm1
LOC118268175	LOC118268175^AMPH_MOUSE^BIN1_RAT^BAR^sigP
LOC118268177	LOC118268177^PDIA4_CAEEL^PDIA5_RAT^PDIA5_HUMAN^PDI1_SCHPO^Thioredoxin^sigP^Tm1
LOC118268178	LOC118268178^MYS9_DROME^Myosin_head^sigP^Tm1
LOC118268180	LOC118268180^MOGT1_XENTR^DAGAT^Tm1
LOC118268181	LOC118268181^MYPH_ECHGR^CH
LOC118268182	LOC118268182^ATPB_DROME^ATP-synt_ab_N
LOC118268183	LOC118268183^MYLK_RABIT^XLF^Tm2
LOC118268184	LOC118268184^CTRB2_HUMAN^CTRB1_HUMAN^Trypsin^sigP^Tm1
LOC118268185	LOC118268185^GRAM_HUMAN^Trypsin^sigP
LOC118268186	LOC118268186^DDI2_XENLA^ubiquitin
LOC118268187	LOC118268187^RAB8A_RAT^Arf
LOC118268188	LOC118268188^COR2B_MOUSE^DUF1899^sigP^Tm1
LOC118268189	LOC118268189^sigP^Tm1
LOC118268190	LOC118268190^RDX_DROME^MATH
LOC118268191	LOC118268191^SOCS7_HUMAN^SH2^Tm1
LOC118268192	LOC118268192^MBD5_HUMAN^F-box-like^sigP^Tm1
LOC118268193	LOC118268193^OPS3_DROPS^7TM_GPCR_Srsx^sigP^Tm7
LOC118268194	LOC118268194^UTP18_DROME^sigP^Tm1
LOC118268195	LOC118268195^DNJA1_PONAB^DnaJ^Tm1
LOC118268196	LOC118268196^GPDA_DROME^NAD_Gly3P_dh_N^Tm1
LOC118268197	LOC118268197^FMT_HUMAN^Formyl_trans_N^Tm1
LOC118268198	LOC118268198^TM198_XENTR^DUF4203^sigP^Tm7
LOC118268199	LOC118268199^FMT_HUMAN^Formyl_trans_N^Tm1
LOC118268200	LOC118268200^RRP44_MOUSE^PIN_4^Tm1
LOC118268201	LOC118268201^MAN1_MOUSE^MAN1_HUMAN^LEM^Tm2
LOC118268202	LOC118268202^SAR1B_MOUSE^Arf
LOC118268203	LOC118268203^CBPC5_AILME^Pepdidase_M14_N^Tm1
LOC118268204	LOC118268204^ATPB_DROME^ATP-synt_ab_N
LOC118268205	LOC118268205^Apolipoprotein^sigP
LOC118268206	LOC118268206^FABG_THEMA^adh_short^sigP^Tm1
LOC118268207	LOC118268207^Y325_THEMA^adh_short^Tm1
LOC118268208	LOC118268208^DNJC8_RAT^DnaJ^Tm1
LOC118268209	LOC118268209^UQCC1_HUMAN^Ubiq_cyt_C_chap^Tm1
LOC118268210	LOC118268210^ASM_BOVIN^Metallophos^sigP
LOC118268211	LOC118268211^NMD3_XENTR^NMD3_PONAB^NMD3
LOC118268212	LOC118268212^CP304_DROME^p450^sigP^Tm3
LOC118268213	LOC118268213^OR13A_DROME^7tm_6^sigP^Tm6
LOC118268214	LOC118268214^OR92A_DROME^7tm_6^Tm7
LOC118268216	LOC118268216^ATS3_HUMAN^Pep_M12B_propep^Tm1
LOC118268217	LOC118268217^S45A2_MOUSE^MFS_1^sigP^Tm9
LOC118268218	LOC118268218^SAMD5_MOUSE^SASH1_MOUSE^SASH3_BOVIN^SAM_1^SH3_2^Tm1
LOC118268219	LOC118268219^Tm1
LOC118268220	LOC118268220^Tm1
LOC118268221	LOC118268221^GLRA3_HUMAN^GLUCL_DROME^Neur_chan_LBD^Tm3
LOC118268222	LOC118268222^NEMP1_XENTR^NEMP^sigP^Tm5
LOC118268223	LOC118268223^YI31B_YEAST^TF29_SCHPO^RVT_1^sigP^Tm1
LOC118268224	LOC118268224^RRP44_MOUSE^PIN_4^sigP^Tm1
LOC118268225	LOC118268225^AGT2L_DROME^Aminotran_3^sigP^Tm1
LOC118268226	LOC118268226^Tm5
LOC118268227	LOC118268227^STBPA_DANRE^USP8_dimer^Tm2
LOC118268228	LOC118268228^CAD96_DROME^PK_Tyr_Ser-Thr^sigP^Tm1
LOC118268229	LOC118268229^MLX_HUMAN^HLH^Tm1
LOC118268230	LOC118268230^ASH2_DROME^SPRY
LOC118268231	LOC118268231^Tm1
LOC118268232	LOC118268232^TRC_DROPS^Pkinase^SRR
LOC118268233	LOC118268233^SIR5_DAPPU^SIR2^Tm1
LOC118268234	LOC118268234^AMPN_PIG^Peptidase_M1_N^sigP^Tm2
LOC118268235	LOC118268235^SLO_DROME^Tm1
LOC118268236	LOC118268236^STRP1_MACFA^N1221
LOC118268237	LOC118268237^Tm7
LOC118268238	LOC118268238^PRDX4_MOUSE^AhpC-TSA^sigP^Tm1
LOC118268239	LOC118268239^TSTD3_MOUSE^MTA_R1^Rhodanese
LOC118268240	LOC118268240^RDL_SCHPO^Rhodanese
LOC118268241	LOC118268241^sigP^Tm2
LOC118268242	LOC118268242^MAP1_CHICK^Peptidase_M24^zf-C6H2
LOC118268244	LOC118268244^NFKB1_DROME^RHD_DNA_bind^Tm1
LOC118268245	LOC118268245^NDUB2_BOVIN^NADH_B2
LOC118268246	LOC118268246^DDX11_DANRE^DEAD_2^sigP
LOC118268247	LOC118268247^sigP
LOC118268248	LOC118268248^sigP
LOC118268249	LOC118268249^CUTA_XENLA^CutA1^sigP
LOC118268250	LOC118268250^PSTA_DICDI^PLPK1_ARATH^TCNA_TRYCR^sigP^Tm2
LOC118268251	LOC118268251^CAH15_MOUSE^Carb_anhydrase^sigP^Tm1
LOC118268252	LOC118268252^VATF_MANSE^ATP-synt_F^Tm1
LOC118268253	LOC118268253^ELBOW_DROME^zf-C2H2^sigP
LOC118268254	LOC118268254^MNS1_MOUSE^MNS1_RAT^TPH^Tm1
LOC118268255	LOC118268255^HYPK_MOUSE^HYPK_UBA^sigP^Tm1
LOC118268256	LOC118268256^Spaetzle^sigP
LOC118268257	LOC118268257^VA3_SOLRI^VA3_SOLIN^CAP^sigP^Tm1
LOC118268258	LOC118268258^PI16_BOVIN^VA3_SOLRI^VA3_SOLIN^CAP^sigP^Tm1
LOC118268259	LOC118268259^Tm1
LOC118268260	LOC118268260^VA3_SOLIN^CAP^sigP^Tm1
LOC118268261	LOC118268261^PI16_HUMAN^sigP^Tm1
LOC118268262	LOC118268262^SGPL_DROME^Pyridoxal_deC
LOC118268263	LOC118268263^TRY4_ANOGA^Trypsin^sigP
LOC118268264	LOC118268264^EWG_DROME^Nrf1_DNA-bind^Tm1
LOC118268265	LOC118268265^RL24_SPOFR^Ribosomal_L24e
LOC118268266	LOC118268266^MIX23_BOVIN^MIX23^Tm1
LOC118268267	LOC118268267^U389_DROME^DUF1075^Tm1
LOC118268268	LOC118268268^SV2B_MOUSE^MFS_1^Tm12
LOC118268269	LOC118268269^CHMP5_DROME^Snf7^Tm1
LOC118268270	LOC118268270^DCTN6_HUMAN^DCTN6_MOUSE
LOC118268271	LOC118268271^ASM3A_HUMAN^ASM3A_BOVIN^Metallophos^sigP^Tm1
LOC118268272	LOC118268272^sigP^Tm1
LOC118268273	LOC118268273^OR13A_DROME^7tm_6^Tm6
LOC118268275	LOC118268275^MK67I_XENTR^RRM_1^Tm1
LOC118268276	LOC118268276^AAR2_HUMAN^AAR2^Cohesin_HEAT^sigP
LOC118268277	LOC118268277^CU12_HYACE^Chitin_bind_4^sigP
LOC118268278	LOC118268278^CU12_HYACE^Chitin_bind_4^sigP
LOC118268279	LOC118268279^CU12_HYACE^Chitin_bind_4
LOC118268280	LOC118268280^Y7416_DICDI^BolA
LOC118268281	LOC118268281^Tm3
LOC118268282	LOC118268282^ATK_DROME^LRR_5^sigP^Tm1
LOC118268283	LOC118268283^VA5_RHYBR^CAP^sigP
LOC118268284	LOC118268284^FAS1_SCHAM^Fasciclin^sigP
LOC118268285	LOC118268285^AMPN_MOUSE^Peptidase_M1_N^sigP^Tm1
LOC118268286	LOC118268286^WAP^sigP
LOC118268287	LOC118268287^FAS1_SCHAM^Fasciclin^sigP^Tm1
LOC118268288	LOC118268288^CAH3_PIG^Carb_anhydrase
LOC118268289	LOC118268289^LMX1A_HUMAN^LMX1B_HUMAN^Adeno_E4_34^LIM^Tm1
LOC118268290	LOC118268290^sigP^Tm2
LOC118268291	LOC118268291^DUF1759^Tm1
LOC118268292	LOC118268292^DUF1759^Tm1
LOC118268294	LOC118268294^TWHH_DANRE^HH_signal^Tm1
LOC118268295	LOC118268295^ARSB_FELCA^Sulfatase^sigP^Tm1
LOC118268296	LOC118268296^ARSB_MOUSE^Sulfatase^sigP
LOC118268297	LOC118268297^OTU1_DROME^UBX
LOC118268298	LOC118268298^MYBPP_HUMAN^MYCBPAP^sigP
LOC118268299	LOC118268299^CAH1_CHIHA^Carb_anhydrase^Tm1
LOC118268300	LOC118268300^VA5_RHYBR^CAP^sigP
LOC118268301	LOC118268301^TIG_2^sigP
LOC118268302	LOC118268302^ARSI_MOUSE^ARSJ_MOUSE^Sulfatase^sigP^Tm1
LOC118268305	LOC118268305^FAH2A_DANRE^FAAH2_HUMAN^Amidase^Tm1
LOC118268306	LOC118268306^PPN_DROME^Kunitz_BPTI^sigP
LOC118268307	LOC118268307^VWDE_HUMAN^C_tripleX^sigP^Tm2
LOC118268308	LOC118268308^MADF_DNA_bdg^sigP^Tm1
LOC118268309	LOC118268309^HM19_CAEEL^Homeodomain^Tm1
LOC118268310	LOC118268310^KPYK_DROME^PK
LOC118268311	LOC118268311^HARB1_DANRE^Plant_tran
LOC118268312	LOC118268312^BXA3_SAMCY^Insulin^sigP^Tm1
LOC118268314	LOC118268314^RB27A_RAT^Arf
LOC118268315	LOC118268315^RERGL_DANRE^RERG_MOUSE^Ras
LOC118268316	LOC118268316^ZASP_DROME^DUF4749^sigP
LOC118268317	LOC118268317^VP13B_HUMAN^Chorein_N^sigP^Tm1
LOC118268318	LOC118268318^SNPF_AGRIP^sigP^Tm2
LOC118268319	LOC118268319^VPS13_DROME^Chorein_N^sigP^Tm1
LOC118268320	LOC118268320^VPP1_MOUSE^V_ATPase_I^Tm6
LOC118268321	LOC118268321^PYRG_DROME^PYRG_DROPS^CTP_synth_N^Tm1
LOC118268322	LOC118268322^RU1C_AEDAE^RU1C_ANODA^zf-U1^Tm1
LOC118268323	LOC118268323^DUF1759^Tm1
LOC118268325	LOC118268325^Tm1
LOC118268326	LOC118268326^Tm1
LOC118268327	LOC118268327^fn3^sigP
LOC118268328	LOC118268328^TTN1_CAEEL^fn3^Tm2
LOC118268329	LOC118268329^SPZ5_DROME^Spaetzle^sigP
LOC118268330	LOC118268330^PPIA_BLAGE^Pro_isomerase
LOC118268331	LOC118268331^AQP4_MOUSE^MIP^Tm6
LOC118268332	LOC118268332^ALKMO_XENTR^FA_hydroxylase^Tm4
LOC118268334	LOC118268334^MADF_DNA_bdg^sigP^Tm1
LOC118268335	LOC118268335^CO061_MOUSE^DUF4528^Tm1
LOC118268336	LOC118268336^CHI10_DROME^PE1_ANOGA^CBM_14^sigP
LOC118268337	LOC118268337^OR13A_DROME^7tm_6^sigP^Tm1
LOC118268338	LOC118268338^GLT25_ANOGA^Glyco_tranf_2_4^sigP^Tm1
LOC118268339	LOC118268339^OR92A_DROME^7tm_6^Tm7
LOC118268340	LOC118268340^VA3_DINQU^CAP^Tm1
LOC118268341	LOC118268341^SIR5_BOVIN^SIR2
LOC118268342	LOC118268342^DNJA1_PONAB^DnaJ^Tm1
LOC118268343	LOC118268343^NOC_DROME^zf-C2H2
LOC118268344	LOC118268344^CHI10_DROME^PE1_ANOGA^CBM_14^sigP
LOC118268345	LOC118268345^AMPM_MANSE^Peptidase_M1_N^sigP^Tm1
LOC118268346	LOC118268346^MOCOS_BOMMO^Aminotran_5^Tm1
LOC118268347	LOC118268347^AMPL_XENTR^Peptidase_M17_N
LOC118268348	LOC118268348^LIP3_DROME^Abhydro_lipase^Tm1
LOC118268349	LOC118268349^AMPN_PIG^AMPM_HELVI^Peptidase_M1_N^sigP^Tm1
LOC118268350	LOC118268350^MFSD9_MOUSE^MFS_1^Tm9
LOC118268351	LOC118268351^LYRM7_MOUSE^Complex1_LYR
LOC118268352	LOC118268352^PT100_BOVIN^Pet100^Tm1
LOC118268353	LOC118268353^PSI^sigP
LOC118268354	LOC118268354^AMPM_MANSE^Peptidase_M1_N^sigP^Tm1
LOC118268355	LOC118268355^AQP4_MOUSE^MIP^Tm6
LOC118268356	LOC118268356^HIG_DROME^Sushi^sigP
LOC118268358	LOC118268358^FA76A_HUMAN^FAM76^sigP
LOC118268360	LOC118268360^MIEN1_HUMAN^Rdx^Tm1
LOC118268361	LOC118268361^CAH15_MOUSE^Carb_anhydrase^Tm1
LOC118268362	LOC118268362^CCD12_HUMAN^cwf18^Tm1
LOC118268363	LOC118268363^Tm1
LOC118268364	LOC118268364^YqaJ
LOC118268366	LOC118268366^AMPN_MOUSE^Peptidase_M1_N^sigP^Tm1
LOC118268367	LOC118268367^AMPM_MANSE^Peptidase_M1_N^sigP^Tm1
LOC118268368	LOC118268368^NUDEL_DROME^Ldl_recept_a^sigP^Tm1
LOC118268369	LOC118268369^DUF1676^sigP^Tm1
LOC118268370	LOC118268370^CP304_DROME^p450^sigP^Tm1
LOC118268371	LOC118268371^CLZ9_COCLU^DDE_1^Tm1
LOC118268372	LOC118268372^Tm1
LOC118268373	LOC118268373^7tm_6^Tm1
LOC118268374	LOC118268374^SC5A6_DROME^SSF^Tm13
LOC118268375	LOC118268375^TIM_HUMAN^TIM_RAT^TIMELESS^Tm1
LOC118268376	LOC118268376^Spaetzle^sigP
LOC118268377	LOC118268377^WS_DGAT_C^sigP^Tm1
LOC118268378	LOC118268378^OR83A_DROME^7tm_6^Tm6
LOC118268379	LOC118268379^TMEM72^Tm3
LOC118268380	LOC118268380^CO061_MOUSE^DUF4528^Tm1
LOC118268381	LOC118268381^Tm1
LOC118268382	LOC118268382^DNAI3_HUMAN^WD40^Tm1
LOC118268383	LOC118268383^DNAI3_MACFA^DNAI3_HUMAN^Tm2
LOC118268384	LOC118268384^Tm4
LOC118268385	LOC118268385^sigP^Tm1
LOC118268386	LOC118268386^VA3_SOLIN^CAP^sigP^Tm1
LOC118268387	LOC118268387^DRPR_DROME^Laminin_EGF^sigP^Tm1
LOC118268388	LOC118268388^ZAN_MOUSE^sigP^Tm2
LOC118268389	LOC118268389^ACH1_MANSE^ACH1_DROME^Neur_chan_LBD^sigP^Tm4
LOC118268391	LOC118268391^SIR5_CANLF^SIR2
LOC118268392	LOC118268392^KPYK_DROME^PK_C
LOC118268394	LOC118268394^OR13A_DROME^7tm_6^Tm1
LOC118268395	LOC118268395^TXND_THEPA^Thioredoxin^sigP^Tm1
LOC118268396	LOC118268396^Tm1
LOC118268397	LOC118268397^ELMD1_MOUSE^ELMO_CED12^Tm1
LOC118268398	LOC118268398^AQP_HAEIX^MIP^Tm6
LOC118268399	LOC118268399^SNX4_MOUSE^PX^Tm1
LOC118268400	LOC118268400^Deltameth_res^sigP^Tm1
LOC118268401	LOC118268401^SC6A9_HUMAN^SC6A9_XENLA^SNF^Tm12
LOC118268402	LOC118268402^Y1R1_DROME^Tm1
LOC118268404	LOC118268404^Tm1
LOC118268405	LOC118268405^PSD_DROME^PDZ^Tm2
LOC118268406	LOC118268406^BABA1_XENLA^Tm1
LOC118268407	LOC118268407^RWDD1_RAT^RWD^Tm1
LOC118268408	LOC118268408^ALAT2_XENTR^Aminotran_1_2^Tm1
LOC118268409	LOC118268409^TULP4_MOUSE^Tub^sigP
LOC118268410	LOC118268410^sigP^Tm1
LOC118268411	LOC118268411^CISD2_DROAN^MitoNEET_N^Tm1
LOC118268412	LOC118268412^TLR1_DROME^7tm_1^Tm7
LOC118268413	LOC118268413^WS_DGAT_C^Tm1
LOC118268414	LOC118268414^MULE^sigP^Tm1
LOC118268415	LOC118268415^TBCD_HUMAN^TFCD_C^Tm1
LOC118268416	LOC118268416^Prenyltrans^sigP^Tm1
LOC118268417	LOC118268417^DPOLQ_DROME^DEAD^Tm1
LOC118268418	LOC118268418^BXA3_SAMCY^Insulin^sigP^Tm1
LOC118268419	LOC118268419^CYB5R_DROME^Cyt-b5^Tm4
LOC118268421	LOC118268421^DPEP1_RABIT^Peptidase_M19^sigP^Tm1
LOC118268422	LOC118268422^sigP^Tm1
LOC118268423	LOC118268423^Insulin^sigP
LOC118268424	LOC118268424^CYB5R_DROME^Cyt-b5^Tm4
LOC118268426	LOC118268426^MAP1A_MOUSE^MAP1A_HUMAN^sigP^Tm1
LOC118268427	LOC118268427^RNF17_MOUSE^TUDOR
LOC118268428	LOC118268428^OMBP_MANSE^sigP^Tm1
LOC118268429	LOC118268429^PCBP3_HUMAN^KH_1^Tm2
LOC118268430	LOC118268430^DUF5907^Tm1
LOC118268432	LOC118268432^REV3L_MOUSE^DNA_pol_B_exo1^sigP^Tm1
LOC118268433	LOC118268433^CEP20_CHICK^FOP_dimer^sigP^Tm1
LOC118268435	LOC118268435^VA3_SOLIN^CAP^sigP
LOC118268436	LOC118268436^OMBP_MANSE^sigP^Tm1
LOC118268437	LOC118268437^CALCR_HUMAN^HRM^Tm6
LOC118268438	LOC118268438^CYB5R_DROME^Cyt-b5^Tm4
LOC118268439	LOC118268439^ATK_DROME^LRR_1^sigP^Tm1
LOC118268440	LOC118268440^UDPE_NPVSL^UDPGT^sigP^Tm2
LOC118268441	LOC118268441^sigP^Tm1
LOC118268442	LOC118268442^ARC2_DROME^sigP
LOC118268443	LOC118268443^Insulin^sigP
LOC118268444	LOC118268444^PHF14_MOUSE^PHD^sigP^Tm1
LOC118268445	LOC118268445^RS14_BOMMO^Ribosomal_S11^sigP
LOC118268446	LOC118268446^OR85C_DROME^7tm_6^Tm7
LOC118268447	LOC118268447^PHF14_MOUSE^PHD^sigP
LOC118268448	LOC118268448^THAP
LOC118268449	LOC118268449^CYB5R_DROME^Cyt-b5^Tm3
LOC118268450	LOC118268450^Viral_alk_exo^sigP^Tm1
LOC118268451	LOC118268451^RERGL_DANRE^Ras^Tm1
LOC118268452	LOC118268452^CYB5R_DROME^Cyt-b5^sigP^Tm4
